"Time"	"indice"
"1"	2	3
"2"	3	3
"3"	4	3
"4"	5	3
"5"	6	3
"6"	7	4
"7"	8	4
"8"	9	9
"9"	10	16
"10"	11	23
"11"	12	34
"12"	13	59
"13"	14	83
"14"	15	121
"15"	16	146
"16"	17	192
"17"	18	249
"18"	19	329
"19"	20	399
"20"	21	470
"21"	22	550
"22"	23	640
"23"	24	696
"24"	25	754
"25"	26	831
"26"	27	853
"27"	28	870
"28"	29	887
"29"	30	925
"30"	31	930
"31"	32	937
"32"	33	911
"33"	34	912
"34"	35	930
"35"	36	935
"36"	37	910
"37"	38	933
"38"	39	913
"39"	40	896
"40"	41	893
"41"	42	876
"42"	43	867
"43"	44	854
"44"	45	858
"45"	46	829
"46"	47	844
"47"	48	831
"48"	49	833
"49"	50	796
"50"	51	775
"51"	52	746
"52"	53	753
"53"	54	742
"54"	55	722
"55"	56	714
"56"	57	694
"57"	58	683
"58"	59	663
"59"	60	652
"60"	61	632
"61"	62	626
"62"	63	598
"63"	64	589
"64"	65	598
"65"	66	602
"66"	67	584
"67"	68	574
"68"	69	570
"69"	70	556
"70"	71	547
"71"	72	535
"72"	73	522
"73"	74	504
"74"	75	491
"75"	76	486
"76"	77	488
"77"	78	480
"78"	79	472
"79"	80	470
"80"	81	467
"81"	82	463
"82"	83	456
"83"	84	436
"84"	85	424
"85"	86	417
"86"	87	407
"87"	88	400
"88"	89	395
"89"	90	389
"90"	91	387
"91"	92	383
"92"	93	381
"93"	94	380
"94"	95	379
"95"	96	378
"96"	97	374
"97"	98	365
"98"	99	359
"99"	100	349
"100"	101	349
"101"	102	336
"102"	103	320
"103"	104	312
"104"	105	307
"105"	106	298
"106"	107	291
"107"	108	283
"108"	109	282
"109"	110	274
"110"	111	273
"111"	112	274
"112"	113	260
"113"	114	253
"114"	115	254
"115"	116	247
"116"	117	244
"117"	118	244
"118"	119	240
"119"	120	233
"120"	121	221
"121"	122	217
"122"	123	210
"123"	124	203
"124"	125	198
"125"	126	197
"126"	127	194
"127"	128	184
"128"	129	181
"129"	130	177
"130"	131	170
"131"	132	169
"132"	133	164
"133"	134	160
"134"	135	157
"135"	136	153
"136"	137	150
"137"	138	143
"138"	139	138
"139"	140	131
"140"	141	127
"141"	142	122
"142"	143	120
"143"	144	113
"144"	145	109
"145"	146	103
"146"	147	95
"147"	148	94
"148"	149	93
"149"	150	90
"150"	151	89
"151"	152	89
"152"	153	90
"153"	154	84
"154"	155	81
"155"	156	80
"156"	157	75
"157"	158	73
"158"	159	67
"159"	160	66
"160"	161	63
"161"	162	57
"162"	163	52
"163"	164	47
"164"	165	47
"165"	166	47
"166"	167	45
"167"	168	43
"168"	169	41
"169"	170	38
"170"	171	34
"171"	172	33
"172"	173	32
"173"	174	30
"174"	175	28
"175"	176	28
"176"	177	27
"177"	178	24
"178"	179	21
"179"	180	20
"180"	181	18
"181"	182	16
"182"	183	14
"183"	184	14
"184"	185	14
"185"	186	14
"186"	187	14
"187"	188	14
"188"	189	13
"189"	190	12
"190"	191	13
"191"	192	11
"192"	193	11
"193"	194	10
"194"	195	9
"195"	196	9
"196"	197	8
"197"	198	8
"198"	199	8
"199"	200	8
"200"	201	8
"201"	202	7
"202"	203	6
"203"	204	6
"204"	205	6
"205"	206	6
"206"	207	6
"207"	208	6
"208"	209	5
"209"	210	5
"210"	211	5
"211"	212	4
"212"	213	4
"213"	214	3
"214"	215	3
"215"	216	3
"216"	217	3
"217"	218	3
"218"	219	3
"219"	220	3
"220"	221	3
"221"	222	3
"222"	223	3
"223"	224	3
"224"	225	3
"225"	226	3
"226"	227	3
"227"	228	3
"228"	229	3
"229"	230	3
"230"	231	3
"231"	232	3
"232"	233	3
"233"	234	3
"234"	235	3
"235"	236	3
"236"	237	3
"237"	238	3
"238"	239	3
"239"	240	3
"240"	241	3
"241"	242	3
"242"	243	3
"243"	244	3
"244"	245	3
"245"	246	2
"246"	247	2
"247"	248	2
"248"	249	2
"249"	250	2
"250"	251	2
"251"	252	2
"252"	253	2
"253"	254	2
"254"	255	2
"255"	256	1
"256"	257	1
"257"	258	1
"258"	259	1
"259"	260	1
"260"	261	1
"261"	262	1
"262"	263	1
"263"	264	1
"264"	265	1
"265"	266	1
"266"	267	1
"267"	268	1
"268"	269	1
"269"	270	1
"270"	271	1
"271"	272	1
"272"	273	1
"273"	274	1
"274"	275	1
"275"	276	1
"276"	277	1
"277"	278	1
"278"	279	1
"279"	280	1
"280"	281	1
"281"	282	1
"282"	283	1
"283"	284	1
"284"	285	1
"285"	286	1
"286"	287	1
"287"	288	1
"288"	289	1
"289"	290	1
"290"	291	1
"291"	292	1
"292"	293	1
"293"	294	1
"294"	295	1
