"Time"	"indice"
"1"	2	1
"2"	3	1
"3"	4	3
"4"	5	4
"5"	6	4
"6"	7	8
"7"	8	6
"8"	9	7
"9"	10	10
"10"	11	19
"11"	12	30
"12"	13	47
"13"	14	69
"14"	15	102
"15"	16	145
"16"	17	207
"17"	18	280
"18"	19	357
"19"	20	418
"20"	21	524
"21"	22	607
"22"	23	669
"23"	24	721
"24"	25	799
"25"	26	847
"26"	27	875
"27"	28	896
"28"	29	897
"29"	30	907
"30"	31	922
"31"	32	940
"32"	33	943
"33"	34	934
"34"	35	924
"35"	36	937
"36"	37	939
"37"	38	911
"38"	39	893
"39"	40	880
"40"	41	876
"41"	42	874
"42"	43	841
"43"	44	824
"44"	45	827
"45"	46	813
"46"	47	811
"47"	48	806
"48"	49	771
"49"	50	750
"50"	51	730
"51"	52	736
"52"	53	714
"53"	54	716
"54"	55	710
"55"	56	678
"56"	57	657
"57"	58	653
"58"	59	608
"59"	60	617
"60"	61	598
"61"	62	600
"62"	63	599
"63"	64	580
"64"	65	571
"65"	66	557
"66"	67	537
"67"	68	513
"68"	69	502
"69"	70	494
"70"	71	482
"71"	72	476
"72"	73	461
"73"	74	444
"74"	75	430
"75"	76	408
"76"	77	398
"77"	78	391
"78"	79	381
"79"	80	373
"80"	81	363
"81"	82	344
"82"	83	336
"83"	84	327
"84"	85	321
"85"	86	320
"86"	87	308
"87"	88	302
"88"	89	293
"89"	90	277
"90"	91	276
"91"	92	269
"92"	93	262
"93"	94	246
"94"	95	239
"95"	96	237
"96"	97	238
"97"	98	229
"98"	99	222
"99"	100	215
"100"	101	194
"101"	102	185
"102"	103	182
"103"	104	179
"104"	105	181
"105"	106	172
"106"	107	167
"107"	108	162
"108"	109	160
"109"	110	158
"110"	111	155
"111"	112	142
"112"	113	140
"113"	114	134
"114"	115	128
"115"	116	126
"116"	117	125
"117"	118	121
"118"	119	118
"119"	120	113
"120"	121	111
"121"	122	107
"122"	123	107
"123"	124	104
"124"	125	96
"125"	126	88
"126"	127	87
"127"	128	86
"128"	129	84
"129"	130	79
"130"	131	74
"131"	132	73
"132"	133	67
"133"	134	64
"134"	135	63
"135"	136	62
"136"	137	65
"137"	138	65
"138"	139	63
"139"	140	59
"140"	141	55
"141"	142	54
"142"	143	51
"143"	144	50
"144"	145	47
"145"	146	44
"146"	147	43
"147"	148	41
"148"	149	41
"149"	150	42
"150"	151	40
"151"	152	40
"152"	153	40
"153"	154	37
"154"	155	39
"155"	156	37
"156"	157	34
"157"	158	32
"158"	159	32
"159"	160	30
"160"	161	31
"161"	162	31
"162"	163	32
"163"	164	31
"164"	165	27
"165"	166	27
"166"	167	26
"167"	168	24
"168"	169	24
"169"	170	23
"170"	171	23
"171"	172	23
"172"	173	22
"173"	174	20
"174"	175	17
"175"	176	16
"176"	177	15
"177"	178	13
"178"	179	13
"179"	180	13
"180"	181	13
"181"	182	11
"182"	183	11
"183"	184	11
"184"	185	10
"185"	186	9
"186"	187	9
"187"	188	8
"188"	189	9
"189"	190	8
"190"	191	8
"191"	192	7
"192"	193	7
"193"	194	7
"194"	195	7
"195"	196	7
"196"	197	6
"197"	198	5
"198"	199	5
"199"	200	5
"200"	201	5
"201"	202	5
"202"	203	4
"203"	204	4
"204"	205	4
"205"	206	4
"206"	207	2
"207"	208	2
"208"	209	2
"209"	210	2
"210"	211	2
"211"	212	2
"212"	213	2
"213"	214	2
"214"	215	2
"215"	216	2
"216"	217	2
"217"	218	2
"218"	219	2
"219"	220	2
"220"	221	2
"221"	222	2
"222"	223	2
"223"	224	2
"224"	225	2
"225"	226	2
"226"	227	2
"227"	228	2
"228"	229	2
"229"	230	2
"230"	231	2
"231"	232	2
"232"	233	2
"233"	234	2
"234"	235	2
"235"	236	2
"236"	237	2
"237"	238	2
"238"	239	1
"239"	240	1
"240"	241	1
"241"	242	1
"242"	243	1
"243"	244	1
"244"	245	1
"245"	246	1
"246"	247	1
"247"	248	1
"248"	249	1
"249"	250	1
"250"	251	1
"251"	252	1
"252"	253	1
"253"	254	1
"254"	255	1
"255"	256	1
"256"	257	1
"257"	258	1
"258"	259	1
"259"	260	1
"260"	261	1
"261"	262	1
"262"	263	1
"263"	264	1
"264"	265	1
"265"	266	1
"266"	267	1
"267"	268	1
"268"	269	1
"269"	270	1
"270"	271	1
"271"	272	1
"272"	273	1
"273"	274	1
"274"	275	1
"275"	276	1
"276"	277	1
"277"	278	1
"278"	279	1
"279"	280	1
"280"	281	1
"281"	282	1
"282"	283	1
"283"	284	1
"284"	285	1
"285"	286	1
"286"	287	1
"287"	288	1
"288"	289	1
"289"	290	1
"290"	291	1
"291"	292	1
"292"	293	1
"293"	294	1
"294"	295	1
