"Time"	"indice"
"1"	2	0
"2"	3	0
"3"	4	0
"4"	5	0
"5"	6	0
"6"	7	0
"7"	8	0
"8"	9	0
"9"	10	0
"10"	11	0
"11"	12	0
"12"	13	0
"13"	14	0
"14"	15	0.001
"15"	16	0.001
"16"	17	0
"17"	18	0
"18"	19	0
"19"	20	0.001
"20"	21	0
"21"	22	0.001
"22"	23	0.002
"23"	24	0
"24"	25	0
"25"	26	0.002
"26"	27	0
"27"	28	0.001
"28"	29	0.002
"29"	30	0.002
"30"	31	0.004
"31"	32	0.003
"32"	33	0.005
"33"	34	0.003
"34"	35	0.005
"35"	36	0.004
"36"	37	0.002
"37"	38	0.004
"38"	39	0.006
"39"	40	0.003
"40"	41	0.003
"41"	42	0.002
"42"	43	0.001
"43"	44	0.007
"44"	45	0.008
"45"	46	0.003
"46"	47	0.004
"47"	48	0.004
"48"	49	0.007
"49"	50	0.006
"50"	51	0.005
"51"	52	0.002
"52"	53	0.003
"53"	54	0.014
"54"	55	0.006
"55"	56	0.005
"56"	57	0.003
"57"	58	0.005
"58"	59	0.008
"59"	60	0.006
"60"	61	0.007
"61"	62	0.009
"62"	63	0.005
"63"	64	0.004
"64"	65	0.01
"65"	66	0.006
"66"	67	0.007
"67"	68	0.006
"68"	69	0.005
"69"	70	0.008
"70"	71	0.005
"71"	72	0.007
"72"	73	0.007
"73"	74	0.008
"74"	75	0.006
"75"	76	0.008
"76"	77	0.01
"77"	78	0.008
"78"	79	0.001
"79"	80	0.006
"80"	81	0.006
"81"	82	0.006
"82"	83	0.007
"83"	84	0.007
"84"	85	0.008
"85"	86	0.008
"86"	87	0.008
"87"	88	0.009
"88"	89	0.009
"89"	90	0.01
"90"	91	0.008
"91"	92	0.008
"92"	93	0.007
"93"	94	0.007
"94"	95	0.008
"95"	96	0.008
"96"	97	0.01
"97"	98	0.004
"98"	99	0.002
"99"	100	0.004
"100"	101	0.009
"101"	102	0.006
"102"	103	0.004
"103"	104	0.009
"104"	105	0.001
"105"	106	0.004
"106"	107	0.004
"107"	108	0.009
"108"	109	0.007
"109"	110	0.006
"110"	111	0.002
"111"	112	0.009
"112"	113	0.01
"113"	114	0.002
"114"	115	0.012
"115"	116	0.007
"116"	117	0.009
"117"	118	0.005
"118"	119	0.011
"119"	120	0.008
"120"	121	0.003
"121"	122	0.008
"122"	123	0.01
"123"	124	0.005
"124"	125	0.006
"125"	126	0.004
"126"	127	0.005
"127"	128	0.006
"128"	129	0.008
"129"	130	0.004
"130"	131	0.006
"131"	132	0.007
"132"	133	0.007
"133"	134	0.008
"134"	135	0.006
"135"	136	0.006
"136"	137	0.006
"137"	138	0.004
"138"	139	0.007
"139"	140	0.005
"140"	141	0.005
"141"	142	0.002
"142"	143	0.006
"143"	144	0.008
"144"	145	0.006
"145"	146	0.005
"146"	147	0.007
"147"	148	0.004
"148"	149	0.003
"149"	150	0.005
"150"	151	0.006
"151"	152	0.009
"152"	153	0.007
"153"	154	0.008
"154"	155	0.008
"155"	156	0.008
"156"	157	0.003
"157"	158	0.006
"158"	159	0.004
"159"	160	0.009
"160"	161	0.008
"161"	162	0.004
"162"	163	0.002
"163"	164	0.003
"164"	165	0.006
"165"	166	0.007
"166"	167	0.005
"167"	168	0.004
"168"	169	0.007
"169"	170	0.009
"170"	171	0.002
"171"	172	0.006
"172"	173	0.009
"173"	174	0.003
"174"	175	0.005
"175"	176	0.003
"176"	177	0.006
"177"	178	0.005
"178"	179	0.007
"179"	180	0.002
"180"	181	0.004
"181"	182	0
"182"	183	0.003
"183"	184	0.01
"184"	185	0.009
"185"	186	0.011
"186"	187	0.005
"187"	188	0
"188"	189	0.006
"189"	190	0.008
"190"	191	0.011
"191"	192	0.006
"192"	193	0.009
"193"	194	0.003
"194"	195	0.007
"195"	196	0.01
"196"	197	0.008
"197"	198	0.006
"198"	199	0.006
"199"	200	0.004
"200"	201	0.002
"201"	202	0.004
"202"	203	0.004
"203"	204	0.005
"204"	205	0.004
"205"	206	0.002
"206"	207	0
"207"	208	0.005
"208"	209	0
"209"	210	0
"210"	211	0
"211"	212	0.004
"212"	213	0
"213"	214	0.006
"214"	215	0.003
"215"	216	0.006
"216"	217	0.004
"217"	218	0
"218"	219	0.006
"219"	220	0.006
"220"	221	0
"221"	222	0
"222"	223	0
"223"	224	0.006
"224"	225	0
"225"	226	0.006
"226"	227	0
"227"	228	0
"228"	229	0
"229"	230	0
"230"	231	0
"231"	232	0
"232"	233	0
"233"	234	0
"234"	235	0.007
"235"	236	0
"236"	237	0
"237"	238	0
"238"	239	0
"239"	240	0
"240"	241	0.007
"241"	242	0
"242"	243	0
"243"	244	0
"244"	245	0
"245"	246	0
"246"	247	0
"247"	248	0
"248"	249	0
"249"	250	0
"250"	251	0
"251"	252	0
"252"	253	0
"253"	254	0
"254"	255	0
"255"	256	0
"256"	257	0
"257"	258	0
"258"	259	0
"259"	260	0
"260"	261	0
"261"	262	0
"262"	263	0
"263"	264	0
"264"	265	0
"265"	266	0
"266"	267	0
"267"	268	0
"268"	269	0
"269"	270	0
"270"	271	0
"271"	272	0
"272"	273	0
"273"	274	0
"274"	275	0
"275"	276	0
"276"	277	0
"277"	278	0
"278"	279	0
"279"	280	0
"280"	281	0
"281"	282	0
"282"	283	0
"283"	284	0
"284"	285	0
"285"	286	0
"286"	287	0
"287"	288	0
"288"	289	0
"289"	290	0
"290"	291	0
"291"	292	0
"292"	293	0
"293"	294	0
"294"	295	0
