"Time"	"indice"
"1"	2	1
"2"	3	2
"3"	4	2
"4"	5	3
"5"	6	8
"6"	7	10
"7"	8	15
"8"	9	20
"9"	10	28
"10"	11	35
"11"	12	50
"12"	13	66
"13"	14	98
"14"	15	145
"15"	16	216
"16"	17	305
"17"	18	423
"18"	19	559
"19"	20	717
"20"	21	889
"21"	22	1079
"22"	23	1278
"23"	24	1460
"24"	25	1670
"25"	26	1903
"26"	27	2104
"27"	28	2310
"28"	29	2497
"29"	30	2675
"30"	31	2867
"31"	32	3050
"32"	33	3202
"33"	34	3348
"34"	35	3527
"35"	36	3703
"36"	37	3858
"37"	38	3992
"38"	39	4116
"39"	40	4206
"40"	41	4334
"41"	42	4430
"42"	43	4509
"43"	44	4593
"44"	45	4674
"45"	46	4732
"46"	47	4801
"47"	48	4862
"48"	49	4871
"49"	50	4905
"50"	51	4903
"51"	52	4917
"52"	53	4908
"53"	54	4873
"54"	55	4841
"55"	56	4796
"56"	57	4754
"57"	58	4712
"58"	59	4674
"59"	60	4613
"60"	61	4530
"61"	62	4462
"62"	63	4389
"63"	64	4296
"64"	65	4228
"65"	66	4132
"66"	67	4057
"67"	68	3960
"68"	69	3880
"69"	70	3799
"70"	71	3709
"71"	72	3595
"72"	73	3479
"73"	74	3398
"74"	75	3291
"75"	76	3179
"76"	77	3062
"77"	78	2985
"78"	79	2886
"79"	80	2819
"80"	81	2730
"81"	82	2636
"82"	83	2554
"83"	84	2463
"84"	85	2377
"85"	86	2286
"86"	87	2197
"87"	88	2103
"88"	89	2012
"89"	90	1935
"90"	91	1870
"91"	92	1787
"92"	93	1723
"93"	94	1662
"94"	95	1600
"95"	96	1537
"96"	97	1453
"97"	98	1394
"98"	99	1330
"99"	100	1276
"100"	101	1225
"101"	102	1171
"102"	103	1125
"103"	104	1069
"104"	105	1020
"105"	106	975
"106"	107	936
"107"	108	883
"108"	109	858
"109"	110	821
"110"	111	773
"111"	112	740
"112"	113	712
"113"	114	685
"114"	115	656
"115"	116	637
"116"	117	604
"117"	118	571
"118"	119	556
"119"	120	515
"120"	121	484
"121"	122	461
"122"	123	439
"123"	124	421
"124"	125	403
"125"	126	381
"126"	127	359
"127"	128	342
"128"	129	328
"129"	130	308
"130"	131	291
"131"	132	275
"132"	133	261
"133"	134	250
"134"	135	239
"135"	136	223
"136"	137	213
"137"	138	200
"138"	139	188
"139"	140	178
"140"	141	170
"141"	142	163
"142"	143	155
"143"	144	150
"144"	145	146
"145"	146	141
"146"	147	129
"147"	148	124
"148"	149	120
"149"	150	113
"150"	151	109
"151"	152	106
"152"	153	100
"153"	154	94
"154"	155	88
"155"	156	86
"156"	157	84
"157"	158	80
"158"	159	78
"159"	160	74
"160"	161	68
"161"	162	66
"162"	163	63
"163"	164	59
"164"	165	52
"165"	166	50
"166"	167	45
"167"	168	44
"168"	169	42
"169"	170	39
"170"	171	39
"171"	172	38
"172"	173	37
"173"	174	36
"174"	175	33
"175"	176	31
"176"	177	31
"177"	178	29
"178"	179	28
"179"	180	28
"180"	181	27
"181"	182	27
"182"	183	26
"183"	184	25
"184"	185	24
"185"	186	24
"186"	187	23
"187"	188	23
"188"	189	21
"189"	190	20
"190"	191	19
"191"	192	19
"192"	193	18
"193"	194	18
"194"	195	16
"195"	196	16
"196"	197	14
"197"	198	14
"198"	199	12
"199"	200	11
"200"	201	11
"201"	202	11
"202"	203	9
"203"	204	9
"204"	205	10
"205"	206	8
"206"	207	8
"207"	208	8
"208"	209	7
"209"	210	6
"210"	211	6
"211"	212	6
"212"	213	6
"213"	214	6
"214"	215	6
"215"	216	4
"216"	217	4
"217"	218	4
"218"	219	4
"219"	220	4
"220"	221	4
"221"	222	4
"222"	223	4
"223"	224	4
"224"	225	4
"225"	226	4
"226"	227	4
"227"	228	4
"228"	229	3
"229"	230	3
"230"	231	2
"231"	232	1
"232"	233	1
"233"	234	1
"234"	235	1
"235"	236	1
"236"	237	1
"237"	238	1
"238"	239	1
"239"	240	1
"240"	241	1
"241"	242	1
"242"	243	1
"243"	244	1
"244"	245	1
"245"	246	1
"246"	247	1
"247"	248	1
"248"	249	1
"249"	250	1
"250"	251	1
"251"	252	1
"252"	253	1
"253"	254	1
"254"	255	1
"255"	256	1
"256"	257	1
"257"	258	1
"258"	259	1
"259"	260	1
"260"	261	1
"261"	262	1
"262"	263	1
"263"	264	1
"264"	265	1
"265"	266	1
"266"	267	1
"267"	268	1
"268"	269	1
"269"	270	1
"270"	271	1
"271"	272	1
"272"	273	1
"273"	274	1
"274"	275	1
"275"	276	1
"276"	277	1
"277"	278	1
"278"	279	1
"279"	280	1
"280"	281	1
"281"	282	1
"282"	283	1
"283"	284	1
"284"	285	1
"285"	286	1
"286"	287	1
"287"	288	1
"288"	289	1
"289"	290	1
"290"	291	1
"291"	292	1
"292"	293	1
"293"	294	1
"294"	295	1
